name,salary,sprocket_player_id,member_id,discord_id,skill_group,franchise,Franchise Staff Position,slot,current_scrim_points,Eligible Through
OrangeGamer,14.5,3525,3584,411857880598315018,Champion League,FP,NA,NONE,0,Not Eligible
yuyum0mster,17.0,4009,4068,734589918046846978,Master League,FP,NA,NONE,0,Not Eligible
YoshiWanKenobi,11.5,4017,4075,526244129059897344,Academy League,Flames,NA,PLAYERE,0,Not Eligible
Big Gigantic,15.0,3294,3353,613938017136017411,Champion League,FP,NA,NONE,0,Not Eligible
Quack,12.5,4456,4515,1066608958183309332,Academy League,FP,NA,NONE,0,Not Eligible
Corgi,13.0,3548,3607,771147306514644993,Champion League,FP,NA,NONE,0,Not Eligible
TRAX,16.0,5473,5532,620094566296453159,Master League,FP,NA,NONE,0,Not Eligible
Gristly.,13.5,1557,1587,227950071617028098,Champion League,FP,NA,NONE,0,Not Eligible
Frank,17.5,5550,5609,1274173752019783821,Master League,FP,NA,NONE,0,Not Eligible
ChimeraRL,10.0,3301,3360,310216541280927744,Foundation League,FP,NA,NONE,0,Not Eligible
Bowman3002,11.5,897,908,181587638778724353,Academy League,FP,NA,NONE,0,Not Eligible
xCamTheMan,14.5,1854,1912,385201941250048011,Champion League,FP,NA,NONE,0,Not Eligible
Bookopoulos,12.5,69,70,382713674676174849,Academy League,FP,NA,NONE,0,Not Eligible
awky,7.0,5632,5691,551082295109484555,Foundation League,FP,NA,NONE,0,Not Eligible
Kiyoshi,18.0,5327,5385,1181037415238992005,Premier League,FP,NA,NONE,0,Not Eligible
LEUMYY,20.0,5332,5390,422951592543911959,Premier League,FP,NA,NONE,0,Not Eligible
GUNT,12.0,1046,1062,152171848254226432,Academy League,FP,NA,NONE,0,Not Eligible
Greatness,19.0,5937,5985,418194298371178499,Premier League,FP,NA,NONE,0,Not Eligible
Aez.,17.0,4244,4302,337282280823324675,Master League,FP,NA,NONE,0,Not Eligible
Whippy Flippy,16.5,2446,2505,1196662458367103016,Master League,FP,NA,NONE,0,Not Eligible
SlmRnchr,15.0,1796,1853,480858138648772618,Champion League,FP,NA,NONE,0,Not Eligible
shaggy,9.5,255,259,568100581294473226,Foundation League,FP,NA,NONE,0,Not Eligible
GQSmooothh,12.0,2769,2828,521699824635215912,Academy League,FP,NA,NONE,0,Not Eligible
Jrdn.,19.0,2701,2760,424085927594426368,Premier League,FP,NA,NONE,0,Not Eligible
gon955,14.0,187,191,229769192021295104,Champion League,Elite,NA,PLAYERC,0,Not Eligible
pavek.,15.0,732,740,368460110311456779,Champion League,Tyrants,NA,PLAYERE,0,Not Eligible
Shrimpskii,9.5,2167,2226,485574618371981323,Foundation League,FP,NA,NONE,0,Not Eligible
vHunter,12.0,2767,2826,593268726770696214,Academy League,FP,NA,NONE,0,Not Eligible
Cowboy,13.5,1613,1643,419303492595875842,Champion League,FP,NA,NONE,0,Not Eligible
ChillyF7,10.0,4489,4548,397139512448385047,Foundation League,FP,NA,NONE,0,Not Eligible
Luper,14.0,3455,3514,799157639711555594,Champion League,FP,NA,NONE,0,Not Eligible
Luma,16.5,5511,5570,326810623109365770,Master League,FP,NA,NONE,0,Not Eligible
Storm,13.5,1800,1858,306274762995400716,Champion League,FP,NA,PLAYERE,0,Not Eligible
AL3rt,14.0,5518,5577,692911561416638495,Champion League,FP,NA,NONE,0,Not Eligible
Narutox,14.5,3340,3399,710616536594907297,Champion League,Pend,NA,NONE,0,Not Eligible
Melander,15.0,5779,5838,107578459764592640,Champion League,Foxes,NA,NONE,0,Not Eligible
AspEctZ,7.5,1524,1554,276917487843540992,Foundation League,FP,NA,NONE,0,Not Eligible
notmike,12.0,378,384,302325929017868290,Academy League,FP,NA,NONE,0,Not Eligible
TWRATH,17.0,3627,3686,263503802848509952,Master League,FP,NA,NONE,0,Not Eligible
Primed,11.5,417,423,220599350357655552,Academy League,Spectre,NA,PLAYERE,0,Not Eligible
Rose_Havoc97,18.0,5240,5298,548271219883900939,Master League,Bulls,NA,PLAYERC,0,Not Eligible
G-Ty24,14.5,2671,2730,432962615522623488,Champion League,FP,NA,NONE,0,Not Eligible
DI0VA,12.5,979,990,375370534789316610,Academy League,FP,NA,NONE,0,Not Eligible
JELX,10.5,5169,5227,745807957933031544,Academy League,FP,NA,NONE,0,Not Eligible
Holymo,15.0,4157,4215,738447132503179374,Champion League,FP,NA,NONE,0,Not Eligible
PurpleHippo,14.5,1856,1914,423864442120306699,Champion League,FP,NA,NONE,0,Not Eligible
the1337157,10.0,4283,4342,590278196688322585,Foundation League,Comets,Captain,PLAYERC,0,Not Eligible
